0.97, 4.10659, -2.98282, -7.0999, -11.1018,
0.98, 4.19215, -2.96283, -7.0847, -11.0867,
0.99, 4.27858, -2.94263, -7.06943, -11.0716,
1, 4.3659, -2.92222, -7.05408, -11.0564,
1.01, 4.4541, -2.90158, -7.03866, -11.0411,
1.02, 4.54318, -2.88073, -7.02316, -11.0257,
1.03, 4.63315, -2.85965, -7.00759, -11.0103,
1.04, 4.72399, -2.83835, -6.99194, -10.9948,
1.05, 4.81572, -2.81683, -6.97623, -10.9793,
1.06, 4.90833, -2.79508, -6.96044, -10.9637,
1.07, 5.00182, -2.7731, -6.94458, -10.948,
1.08, 5.0962, -2.7509, -6.92865, -10.9323,
1.09, 5.19145, -2.72846, -6.91266, -10.9165,
1.1, 5.28759, -2.70579, -6.89659, -10.9006,
1.11, 5.38461, -2.68288, -6.88045, -10.8847,
1.12, 5.48251, -2.65973, -6.86425, -10.8687,
1.13, 5.5813, -2.63635, -6.84798, -10.8527,
1.14, 5.68096, -2.61273, -6.83164, -10.8366,
1.15, 5.78151, -2.58886, -6.81524, -10.8205,
1.16, 5.88294, -2.56475, -6.79877, -10.8043,
1.17, 5.98525, -2.54039, -6.78223, -10.788,
1.18, 6.08845, -2.51579, -6.76563, -10.7717,
1.19, 6.19252, -2.49093, -6.74897, -10.7554,
1.2, 6.29748, -2.46582, -6.73223, -10.7389,
1.21, 6.40332, -2.44046, -6.71544, -10.7225,
1.22, 6.51004, -2.41484, -6.69858, -10.706,
1.23, 6.61765, -2.38896, -6.68166, -10.6894,
1.24, 6.72613, -2.36282, -6.66467, -10.6728,
1.25, 6.8355, -2.33642, -6.64763, -10.6561,
1.26, 6.94575, -2.30976, -6.63051, -10.6394,
1.27, 7.05688, -2.28283, -6.61334, -10.6227,
1.28, 7.1689, -2.25563, -6.59611, -10.6059,
1.29, 7.28179, -2.22816, -6.57881, -10.589,
1.3, 7.39557, -2.20041, -6.56145, -10.5721,
1.31, 7.51023, -2.17239, -6.54403, -10.5552,
1.32, 7.62577, -2.1441, -6.52654, -10.5382,
1.33, 7.7422, -2.11552, -6.509, -10.5212,
1.34, 7.8595, -2.08666, -6.4914, -10.5041,
1.35, 7.97769, -2.05752, -6.47373, -10.487,
1.36, 8.09676, -2.0281, -6.456, -10.4698,
1.37, 8.21671, -1.99838, -6.43821, -10.4526,
1.38, 8.33755, -1.96837, -6.42036, -10.4354,
1.39, 8.45926, -1.93808, -6.40245, -10.4181,
1.4, 8.58186, -1.90748, -6.38448, -10.4008,
1.41, 8.70534, -1.87659, -6.36645, -10.3835,
1.42, 8.8297, -1.8454, -6.34836, -10.3661,
1.43, 8.95495, -1.81391, -6.3302, -10.3486,
1.44, 9.08107, -1.78211, -6.31199, -10.3312,
1.45, 9.20808, -1.75001, -6.29371, -10.3136,
1.46, 9.33597, -1.7176, -6.27537, -10.2961,
1.47, 9.46474, -1.68488, -6.25698, -10.2785,
1.48, 9.5944, -1.65184, -6.23852, -10.2609,
1.49, 9.72493, -1.61849, -6.21999, -10.2433,
1.5, 9.85635, -1.58482, -6.20141, -10.2256,
1.51, 9.98865, -1.55083, -6.18277, -10.2078,
1.52, 10.1218, -1.51652, -6.16406, -10.1901,
1.53, 10.2559, -1.48188, -6.14529, -10.1723,
1.54, 10.3908, -1.44692, -6.12646, -10.1545,
1.55, 10.5267, -1.41162, -6.10757, -10.1366,
1.56, 10.6634, -1.37599, -6.08861, -10.1187,
1.57, 10.801, -1.34003, -6.06959, -10.1008,
1.58, 10.9394, -1.30374, -6.05051, -10.0829,
1.59, 11.0788, -1.2671, -6.03136, -10.0649,
1.6, 11.219, -1.23012, -6.01215, -10.0469,
1.61, 11.3602, -1.1928, -5.99288, -10.0288,
1.62, 11.5022, -1.15513, -5.97354, -10.0108,
1.63, 11.645, -1.11711, -5.95413, -9.99266,
1.64, 11.7888, -1.07874, -5.93466, -9.97453,
1.65, 11.9335, -1.04001, -5.91513, -9.95637,
1.66, 12.079, -1.00093, -5.89553, -9.93818,
1.67, 12.2254, -0.961497, -5.87586, -9.91996,
1.68, 12.3727, -0.921697, -5.85613, -9.90171,
1.69, 12.5209, -0.881534, -5.83633, -9.88344,
1.7, 12.6699, -0.841005, -5.81646, -9.86514,
1.71, 12.8199, -0.800108, -5.79652, -9.84681,
1.72, 12.9707, -0.758841, -5.77651, -9.82845,
1.73, 13.1224, -0.7172, -5.75644, -9.81006,
1.74, 13.275, -0.675183, -5.73629, -9.79165,
1.75, 13.4285, -0.632788, -5.71608, -9.77322,
1.76, 13.5828, -0.590013, -5.69579, -9.75475,
1.77, 13.738, -0.546854, -5.67544, -9.73627,
1.78, 13.8941, -0.503311, -5.65501, -9.71775,
1.79, 14.0511, -0.459379, -5.63451, -9.69921,
1.8, 14.209, -0.415057, -5.61393, -9.68065,
1.81, 14.3678, -0.370342, -5.59328, -9.66206,
1.82, 14.5274, -0.325232, -5.57256, -9.64345,
1.83, 14.6879, -0.279725, -5.55176, -9.62481,
1.84, 14.8494, -0.233817, -5.53089, -9.60614,
1.85, 15.0116, -0.187507, -5.50994, -9.58746,
1.86, 15.1748, -0.140791, -5.48892, -9.56875,
1.87, 15.3389, -0.0936683, -5.46781, -9.55001,
